# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:u'
# Event count (approx.): 101229079648
#
# Overhead  Command  Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
# ........  .......  .....................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  main     main                   [.] model::FindSymbol
     0.01%  main     main                   [.] posix_memalign@plt
     0.01%  main     main                   [.] model::FindDigit
     0.01%  main     libc.so.6              [.] 0x000000000008eac4
     0.01%  main     libc.so.6              [.] 0x000000000008e9b0
     0.01%  main     libc.so.6              [.] __overflow
     0.01%  main     libc.so.6              [.] 0x000000000008e3c0
     0.01%  main     libc.so.6              [.] 0x000000000008fae4
     0.01%  main     libc.so.6              [.] 0x000000000008faf0
     0.01%  main     libc.so.6              [.] 0x0000000000091688
     0.01%  main     libc.so.6              [.] 0x000000000008fd08
     0.01%  main     libstdc++.so.6.0.28    [.] std::ostream::_M_insert<long>
     0.01%  main     main                   [.] operator new@plt
     0.01%  main     libc.so.6              [.] 0x0000000000090d1c
     0.01%  main     libstdc++.so.6.0.28    [.] 0x00000000000ba218
     0.01%  main     libstdc++.so.6.0.28    [.] 0x00000000000ba1e0
     0.01%  main     libstdc++.so.6.0.28    [.] std::locale::id::_M_id
     0.01%  main     libc.so.6              [.] 0x0000000000090cd8
     0.01%  main     libc.so.6              [.] 0x0000000000090dc8
     0.01%  main     libc.so.6              [.] 0x00000000000912e8
     0.01%  main     libstdc++.so.6.0.28    [.] 0x00000000000ba1e4
     0.01%  main     libc.so.6              [.] 0x0000000000090a2c
     0.01%  main     libc.so.6              [.] 0x000000000008eb44
     0.01%  main     libgcc_s-10.3.1.so.1   [.] __letf2
     0.01%  main     libc.so.6              [.] 0x000000000008fa6c
     0.01%  main     main                   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append@plt
     0.01%  main     libstdc++.so.6.0.28    [.] std::locale::~locale
     0.01%  main     libc.so.6              [.] 0x00000000000911a8
     0.01%  main     libstdc++.so.6.0.28    [.] __dynamic_cast@plt
     0.01%  main     main                   [.] memmove@plt
     0.01%  main     libc.so.6              [.] 0x0000000000091670
     0.01%  main     libc.so.6              [.] 0x000000000008eaf8
     0.01%  main     libc.so.6              [.] 0x000000000009dcac
     0.01%  main     libc.so.6              [.] 0x0000000000090bfc
     0.01%  main     libc.so.6              [.] 0x000000000009c0b8
     0.01%  main     main                   [.] std::vector<PT, std::allocator<PT> >::_M_realloc_insert<PT&>
     0.01%  main     libc.so.6              [.] 0x000000000009c0a0
     0.01%  main     libc.so.6              [.] 0x0000000000090bd8
     0.01%  main     libc.so.6              [.] 0x0000000000090bbc
     0.01%  main     libc.so.6              [.] 0x0000000000091084
     0.01%  main     libc.so.6              [.] 0x00000000000908e0
     0.01%  main     libc.so.6              [.] 0x0000000000090ce4
     0.01%  main     libc.so.6              [.] 0x00000000000916a4
     0.01%  main     libc.so.6              [.] 0x0000000000090d68
     0.01%  main     libgomp.so.1.0.0       [.] 0x000000000001c4e0
     0.01%  main     libc.so.6              [.] 0x0000000000090d04
     0.01%  main     libc.so.6              [.] 0x0000000000090d20
     0.00%  main     libc.so.6              [.] 0x000000000009dcb0
     0.00%  main     libc.so.6              [.] 0x0000000000090bd4
     0.00%  main     libc.so.6              [.] 0x0000000000090c18
     0.00%  main     libc.so.6              [.] 0x0000000000090cf4
     0.00%  main     libc.so.6              [.] 0x0000000000090bb4
     0.00%  main     libc.so.6              [.] 0x000000000009dd58
     0.00%  main     libc.so.6              [.] 0x0000000000090c28
     0.00%  main     libc.so.6              [.] 0x0000000000090ba8
     0.00%  main     libc.so.6              [.] 0x0000000000090cb0
     0.00%  main     libc.so.6              [.] 0x000000000009158c
     0.00%  main     libc.so.6              [.] 0x0000000000090c1c
     0.00%  main     libc.so.6              [.] 0x00000000000903c4
     0.00%  main     libgomp.so.1.0.0       [.] omp_get_num_threads
     0.00%  main     libc.so.6              [.] 0x0000000000090228
     0.00%  main     [unknown]              [k] 0xffffc2183c5c0424
     0.00%  main     libc.so.6              [.] 0x000000000009dca4
     0.00%  main     libc.so.6              [.] 0x00000000000911f0
     0.00%  main     libc.so.6              [.] 0x0000000000090d0c
     0.00%  main     libc.so.6              [.] 0x0000000000090928
     0.00%  main     libc.so.6              [.] 0x0000000000090d24
     0.00%  main     libc.so.6              [.] 0x0000000000090d6c
     0.00%  main     libc.so.6              [.] 0x0000000000091064
     0.00%  main     libc.so.6              [.] 0x0000000000092018
     0.00%  main     libc.so.6              [.] 0x0000000000090d50
     0.00%  main     libc.so.6              [.] 0x00000000000912f0
     0.00%  main     libc.so.6              [.] 0x00000000000902f8
     0.00%  main     libc.so.6              [.] 0x00000000000903d8
     0.00%  main     libc.so.6              [.] 0x0000000000091680
     0.00%  main     libc.so.6              [.] 0x0000000000090230
     0.00%  main     libc.so.6              [.] 0x0000000000090a08
     0.00%  main     libc.so.6              [.] 0x00000000000912e4
     0.00%  main     libc.so.6              [.] __mprotect
     0.00%  main     libc.so.6              [.] 0x0000000000090564
     0.00%  main     libc.so.6              [.] 0x00000000000911b0
     0.00%  main     libc.so.6              [.] 0x0000000000091054
     0.00%  main     libgomp.so.1.0.0       [.] 0x00000000000197e8
     0.00%  main     libc.so.6              [.] 0x0000000000090578
     0.00%  main     libgomp.so.1.0.0       [.] 0x000000000001c500
     0.00%  main     libgomp.so.1.0.0       [.] 0x00000000000197bc
     0.00%  main     libc.so.6              [.] 0x0000000000091080
     0.00%  main     libc.so.6              [.] 0x0000000000090380
     0.00%  main     libc.so.6              [.] 0x0000000000090580
     0.00%  main     libc.so.6              [.] 0x0000000000090348
     0.00%  main     libgomp.so.1.0.0       [.] 0x000000000001c514
     0.00%  main     libc.so.6              [.] 0x000000000009037c
     0.00%  main     libc.so.6              [.] syscall
     0.00%  main     libc.so.6              [.] 0x00000000000903c8
     0.00%  main     libc.so.6              [.] 0x00000000000903bc
     0.00%  main     libc.so.6              [.] 0x0000000000090328
     0.00%  main     libstdc++.so.6.0.28    [.] std::ios_base::Init::Init
     0.00%  main     libc.so.6              [.] 0x0000000000090304
     0.00%  main     libc.so.6              [.] 0x0000000000090314
     0.00%  main     libc.so.6              [.] 0x0000000000091598
     0.00%  main     libc.so.6              [.] 0x00000000000903dc
     0.00%  main     ld-linux-aarch64.so.1  [.] 0x0000000000010170
     0.00%  main     libc.so.6              [.] __clone
     0.00%  main     libc.so.6              [.] 0x0000000000090324
     0.00%  main     ld-linux-aarch64.so.1  [.] 0x000000000001cdc0
     0.00%  main     libc.so.6              [.] __munmap
     0.00%  main     libc.so.6              [.] 0x000000000009c05c


#
# (Tip: For tracepoint events, try: perf report -s trace_fields)
#
